,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cash and Cash Equivalents,150000,140000,130000,120000,600000,590000,580000,570000,560000,850000,830000,820000
Accounts Receivable,10000,15000,20000,25000,35000,30000,45000,40000,55000,60000,65000,70000
Prepaid Expenses,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Equipment (net),25000,24500,24000,23500,23000,22500,22000,21500,21000,20500,20000,19500
Software / IP (net),50000,48000,46000,44000,42000,40000,38000,36000,34000,32000,30000,28000
Security Deposits,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Investments,0,0,0,0,0,0,0,0,0,10000,15000,20000
Total Assets,260000,255500,251000,246500,682000,669500,672000,663500,660000,989500,887000,865500
Accounts Payable,15000,17000,19000,21000,30000,28000,32000,30000,35000,37000,38000,40000
Accrued Expenses,5000,6000,7000,8000,10000,9000,11000,10000,12000,13000,14000,15000
Current Portion of Debt,0,0,0,0,0,0,0,0,0,0,0,0
Long-term Debt (VC loans),0,0,0,0,800000,800000,800000,800000,800000,800000,800000,800000
Total Liabilities,20000,23000,25000,29000,840000,837000,843000,840000,867000,850000,876000,855000
Common Stock,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Additional Paid-In Capital,190000,190000,190000,190000,0,0,0,0,0,0,0,0
Retained Earnings,0,-65400,-64000,-72900,-208000,-207500,-211000,-225500,-237000,-210500,-249000,-239500
Total Equity,240000,114600,116000,117100,-158000,-157500,-161000,-175500,-187000,-160500,-199000,-189500
Total Liabilities and Equity,260000,255500,251000,246500,682000,679500,682000,664500,680000,689500,737000,685500
