,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Transaction Fees Revenue,13765.11,18802.56,23856.63,30144.82,44461.09,38695.23,54820.91,53318.23,69639.01,76375.02,86850.79,68738.95
Software Subscriptions Revenue,4916.11,6715.20,8520.22,10766.01,15878.96,13819.72,19578.90,19042.23,24871.07,27276.79,31018.14,24549.63
Other Income,983.22,1343.04,1704.04,2153.20,3175.79,2763.94,3915.78,3808.45,4974.21,5455.36,6203.63,4909.93
Total Revenue,19664.44,26860.80,34080.89,43064.03,63515.84,55278.89,78315.58,76168.90,99484.30,109107.17,124072.55,98198.50
Payroll Expense,18041.99,15712.72,16012.12,18296.88,15619.61,18295.75,17500.28,15741.29,15493.01,16719.30,16314.19,15232.93
R&D Expense,3805.64,4846.80,7180.88,9258.29,12788.52,10136.85,16679.12,15247.74,21415.46,20398.88,24332.90,20944.27
Marketing & Sales Expense,3514.42,4221.17,5868.57,5810.74,10072.47,7629.98,10550.80,11635.67,12652.98,15338.92,19591.95,16683.25
General & Administrative Expense,1881.13,2472.87,3716.90,4440.39,6339.45,6246.05,8191.29,8025.57,9386.32,9667.36,11122.80,10603.80
Depreciation Expense,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
Interest Expense,0.00,0.00,0.00,0.00,0.00,3333.33,6666.67,10000.00,13333.33,16666.67,20000.00,23333.33
Income Tax Expense,0.00,0.00,0.00,2424.20,2424.20,2424.20,4745.77,4745.77,4745.77,5827.31,5827.31,5827.31
VC Funding Received,0.00,0.00,0.00,0.00,500000.00,0.00,0.00,0.00,0.00,300000.00,0.00,0.00
Net Profit,-9078.75,-1892.77,-197.58,1333.52,514771.59,5712.73,12481.65,9272.86,20957.42,322988.74,25383.40,4073.60
