,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cash and Cash Equivalents,15000,13000,12000,11000,10000,9000,11000,13000,15000,22000,21000,20000
Accounts Receivable,4000,5000,6000,7000,8000,7500,9000,8500,8000,8500,9000,9500
Prepaid Expenses,500,500,500,500,500,500,500,500,500,500,500,500
Office Equipment (net),3000,2900,2800,2700,2600,2500,2400,2300,2200,2100,2000,1900
Software Licenses (net),2000,1950,1900,1850,1800,1750,1700,1650,1600,1550,1500,1450
Security Deposits,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Total Assets,29500,28450,27900,27450,26900,26000,27500,29500,31100,38550,37000,36450
Accounts Payable,2000,2200,2400,2600,2800,2600,2700,2600,2700,3000,2800,2900
Accrued Expenses,1500,1600,1700,1800,1900,1800,1900,1800,1900,2000,1900,2000
Short-term Loans,0,0,0,0,0,0,0,0,0,0,0,0
Owner's Loan,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Total Liabilities,13500,13800,14100,14400,14700,14400,14600,14400,14600,15000,14700,14900
Owner's Equity,16000,14650,13800,13050,12200,11600,12900,15100,16500,23550,22300,21550
Total Liabilities and Equity,29500,28450,27900,27450,26900,26000,27500,29500,31100,38550,37000,36450
