,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cash and Cash Equivalents,12000,11000,10000,9000,8500,8000,8500,9000,9500,13000,12500,12000
Accounts Receivable,3000,3200,3500,3600,3750,3800,4000,4100,4200,4500,4600,4700
Inventory,4000,3900,3800,3700,3600,3500,3400,3300,3200,3100,3000,2900
Prepaid Expenses,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Kitchen Equipment (net),25000,24000,23000,22000,21000,20000,19000,18000,17000,16000,15000,14000
Furniture & Fixtures (net),15000,14500,14000,13500,13000,12500,12000,11500,11000,10500,10000,9500
Security Deposits,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Total Assets,62700,60000,59500,58000,57350,55900,55600,55000,54700,58100,57000,56000
Accounts Payable,5000,4800,4600,4500,4300,4200,4100,4000,3900,3800,3700,3600
Accrued Expenses,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100
Short-term Loans,0,0,0,0,0,0,0,0,0,0,0,0
Long-term Loans,15000,14800,14600,14400,14200,14000,13800,13600,13400,13200,13000,12800
Total Liabilities,23000,22700,22400,22200,21900,21700,21500,21300,21100,20900,20700,20500
Owner's Equity,39700,37300,37100,35800,35450,34200,34100,33700,33600,37200,36300,35500
Total Liabilities and Equity,62700,60000,59500,58000,57350,55900,55600,55000,54700,58100,57000,56000
